iteration	energy	residual_norm	L2-error	H1-error
2560	-7.336282e+01	9.555377e-04	1.705982e-02	1.188559e-01
2570	-7.336282e+01	2.160883e-04	1.704630e-02	1.188528e-01
2580	-7.336282e+01	3.536427e-05	1.705961e-02	1.188555e-01
2590	-7.336282e+01	1.140881e-02	1.707279e-02	1.188592e-01
2600	-7.336282e+01	1.774281e-03	1.708549e-02	1.188675e-01
2610	-7.336282e+01	1.610513e-05	1.706510e-02	1.188656e-01
2620	-7.336282e+01	4.712553e-05	1.705667e-02	1.188630e-01
2630	-7.336282e+01	8.344397e-05	1.706802e-02	1.188925e-01
2640	-7.336282e+01	1.552828e-05	1.711731e-02	1.189504e-01
2650	-7.336282e+01	1.305663e-04	1.709860e-02	1.188994e-01
2660	-7.336282e+01	3.940284e-03	1.709861e-02	1.188977e-01
2670	-7.336282e+01	3.700944e-02	1.712075e-02	1.189221e-01
2680	-7.336286e+01	1.316816e-01	1.696160e-02	1.199850e-01
2690	-7.336287e+01	1.683868e-03	1.723307e-02	1.202271e-01
2700	-7.336287e+01	3.525016e-04	1.724976e-02	1.202341e-01
2710	-7.336287e+01	2.766101e-04	1.722832e-02	1.202450e-01
2720	-7.336287e+01	3.058401e-04	1.719735e-02	1.202211e-01
2730	-7.336288e+01	1.756412e-04	1.718344e-02	1.204301e-01
2740	-7.336288e+01	1.001746e-02	1.719397e-02	1.204380e-01
2750	-7.336288e+01	3.812394e-03	1.719706e-02	1.205756e-01
2760	-7.336288e+01	1.113032e-03	1.723871e-02	1.205946e-01
2770	-7.336288e+01	4.046141e-04	1.719002e-02	1.205756e-01
2780	-7.336288e+01	5.114175e-03	1.732221e-02	1.205435e-01
2790	-7.336288e+01	9.335893e-04	1.722514e-02	1.204782e-01
2800	-7.336288e+01	6.294548e-04	1.720986e-02	1.204490e-01
2810	-7.336288e+01	4.056118e-04	1.717766e-02	1.203602e-01
2820	-7.336288e+01	3.516514e-03	1.719272e-02	1.204045e-01
2830	-7.336288e+01	6.567571e-03	1.722596e-02	1.204921e-01
2840	-7.336289e+01	5.062224e-02	1.761316e-02	1.207835e-01
2850	-7.336290e+01	5.260092e-02	1.754599e-02	1.209147e-01
2860	-7.336290e+01	4.665951e-02	1.733853e-02	1.208697e-01
2870	-7.336290e+01	2.997613e-02	1.731005e-02	1.208583e-01
2880	-7.336290e+01	4.843927e-03	1.732848e-02	1.208687e-01
2890	-7.336290e+01	6.939973e-04	1.734068e-02	1.208742e-01
2900	-7.336292e+01	7.656880e-03	1.719493e-02	1.206686e-01
2910	-7.336293e+01	5.522632e-03	1.713935e-02	1.205694e-01
2920	-7.336293e+01	5.688135e-04	1.717381e-02	1.205911e-01
2930	-7.336295e+01	2.610478e-04	1.689773e-02	1.203683e-01
2940	-7.336295e+01	8.948138e-05	1.711066e-02	1.204473e-01
2950	-7.336295e+01	7.137993e-04	1.714494e-02	1.204537e-01
2960	-7.336295e+01	2.380500e-05	1.712034e-02	1.204749e-01
2970	-7.336296e+01	4.333168e-04	1.711942e-02	1.204802e-01
2980	-7.336297e+01	3.077454e-04	1.732077e-02	1.208458e-01
2990	-7.336297e+01	2.884359e-03	1.742869e-02	1.209274e-01
3000	-7.336297e+01	4.227924e-04	1.737001e-02	1.208959e-01
3010	-7.336297e+01	2.954593e-04	1.727342e-02	1.207403e-01
3020	-7.336298e+01	3.623304e-04	1.675393e-02	1.202935e-01
3030	-7.336298e+01	3.180937e-04	1.709649e-02	1.203351e-01
3040	-7.336300e+01	1.191542e-03	1.711413e-02	1.209272e-01
3050	-7.336301e+01	7.062998e-03	1.706096e-02	1.208903e-01
3060	-7.336301e+01	4.412729e-03	1.708130e-02	1.209082e-01
3070	-7.336302e+01	2.803922e-03	1.727492e-02	1.211012e-01
3080	-7.336304e+01	1.842307e-03	1.725541e-02	1.213971e-01
3090	-7.336304e+01	3.506252e-04	1.724143e-02	1.213744e-01
3100	-7.336305e+01	2.882918e-04	1.730888e-02	1.214765e-01
3110	-7.336305e+01	9.368917e-04	1.725971e-02	1.214580e-01
3120	-7.336305e+01	1.442610e-04	1.721269e-02	1.213902e-01
3130	-7.336305e+01	7.537769e-04	1.720780e-02	1.213720e-01
3140	-7.336304e+01	5.090986e-04	1.720171e-02	1.213744e-01
3150	-7.336305e+01	1.620236e-04	1.719292e-02	1.213626e-01
3160	-7.336305e+01	3.207637e-04	1.718483e-02	1.213580e-01
3170	-7.336305e+01	9.600393e-04	1.712235e-02	1.210023e-01
3180	-7.336305e+01	7.506995e-04	1.720597e-02	1.210476e-01
3190	-7.336305e+01	1.000741e-03	1.723044e-02	1.209849e-01
3200	-7.336305e+01	3.296292e-05	1.714219e-02	1.209511e-01
3210	-7.336306e+01	1.599812e-04	1.709782e-02	1.208527e-01
3220	-7.336305e+01	3.939755e-04	1.708929e-02	1.208364e-01
3230	-7.336305e+01	1.854349e-02	1.707434e-02	1.208064e-01
3240	-7.336306e+01	6.100243e-04	1.709067e-02	1.208023e-01
3250	-7.336306e+01	2.302275e-04	1.709829e-02	1.207521e-01
3260	-7.336306e+01	2.799290e-02	1.703108e-02	1.207589e-01
3270	-7.336306e+01	5.251890e-03	1.712843e-02	1.207996e-01
3280	-7.336306e+01	2.599456e-03	1.721875e-02	1.208613e-01
3290	-7.336308e+01	7.563502e-04	1.720721e-02	1.215690e-01
3300	-7.336308e+01	3.877781e-03	1.721672e-02	1.216015e-01
3310	-7.336308e+01	2.303322e-04	1.722149e-02	1.216027e-01
3320	-7.336308e+01	2.580234e-03	1.722385e-02	1.216025e-01
3330	-7.336308e+01	3.653199e-03	1.720631e-02	1.215684e-01
3340	-7.336308e+01	2.038122e-03	1.725507e-02	1.216064e-01
3350	-7.336308e+01	5.196342e-03	1.717511e-02	1.215596e-01
3360	-7.336308e+01	6.871429e-03	1.717833e-02	1.214591e-01
3370	-7.336308e+01	2.148984e-03	1.717361e-02	1.214468e-01
3380	-7.336308e+01	9.383056e-04	1.716955e-02	1.214433e-01
3390	-7.336308e+01	7.422728e-02	1.730903e-02	1.215308e-01
3400	-7.336309e+01	3.391042e-03	1.718147e-02	1.215007e-01
3410	-7.336308e+01	8.521817e-02	1.715668e-02	1.215048e-01
3420	-7.336309e+01	7.139028e-03	1.718073e-02	1.215212e-01
3430	-7.336309e+01	4.383913e-02	1.718445e-02	1.216476e-01
3440	-7.336309e+01	8.017723e-02	1.710035e-02	1.216534e-01
3450	-7.336309e+01	4.597967e-02	1.724742e-02	1.218904e-01
3460	-7.336309e+01	1.804399e-03	1.724585e-02	1.219169e-01
3470	-7.336309e+01	6.368484e-05	1.723929e-02	1.219117e-01
3480	-7.336309e+01	2.655855e-02	1.718523e-02	1.218869e-01
3490	-7.336309e+01	5.849530e-04	1.715186e-02	1.217784e-01
3500	-7.336309e+01	3.301169e-03	1.714772e-02	1.217767e-01
3510	-7.336310e+01	6.591814e-02	1.699443e-02	1.216545e-01
