iteration	energy	residual_norm
495	-7.335817e+01	9.235437e-03
496	-7.335817e+01	1.661913e-03
497	-7.335817e+01	2.770830e-03
498	-7.335817e+01	8.908006e-04
499	-7.335817e+01	7.872518e-04
500	-7.335817e+01	2.890475e-03
501	-7.335817e+01	4.824728e-04
502	-7.335817e+01	3.186909e-04
503	-7.335817e+01	1.314396e-02
504	-7.335817e+01	6.265528e-03
505	-7.335818e+01	8.256753e-02
506	-7.335818e+01	3.569164e-01
507	-7.335818e+01	2.173449e-04
508	-7.335818e+01	2.073611e-04
509	-7.335818e+01	4.708147e-05
510	-7.335818e+01	2.745621e-03
511	-7.335818e+01	1.701998e-02
512	-7.335818e+01	1.233207e-04
513	-7.335818e+01	4.162564e-04
514	-7.335818e+01	7.294718e-03
515	-7.335818e+01	3.475970e-03
516	-7.335818e+01	5.031676e-04
517	-7.335818e+01	9.064456e-02
518	-7.335818e+01	1.189893e-03
519	-7.335818e+01	1.974650e-03
520	-7.335818e+01	1.571163e-03
521	-7.335818e+01	2.966001e-03
522	-7.335818e+01	6.639658e-04
523	-7.335818e+01	7.204179e-04
524	-7.335819e+01	3.158346e-02
525	-7.335820e+01	5.181099e-01
526	-7.335820e+01	2.319923e-01
527	-7.335827e+01	2.822796e-04
528	-7.335827e+01	5.435656e-03
529	-7.335827e+01	2.008130e-03
530	-7.335827e+01	2.978846e-03
531	-7.335827e+01	1.813458e-01
532	-7.335827e+01	2.558474e-03
533	-7.335828e+01	8.313365e-03
534	-7.335828e+01	3.015245e-02
535	-7.335828e+01	1.023041e-02
536	-7.335828e+01	1.344691e-04
537	-7.335828e+01	7.495618e-04
538	-7.335828e+01	4.101666e-03
539	-7.335828e+01	1.212728e-02
540	-7.335828e+01	3.488771e-03
541	-7.335829e+01	1.051622e-02
542	-7.335829e+01	1.217686e-01
543	-7.335829e+01	5.027383e-03
544	-7.335829e+01	5.388962e-03
545	-7.335829e+01	2.855640e-03
546	-7.335829e+01	4.610594e-05
547	-7.335829e+01	2.696824e-04
548	-7.335829e+01	4.534873e-04
549	-7.335829e+01	5.145271e-03
550	-7.335829e+01	1.300620e-02
