iteration	energy	residual_norm	L2-error	H1-error
1710	-7.336069e+01	2.077204e-03	1.611694e-02	9.092655e-02
1720	-7.336069e+01	1.880359e-05	1.611620e-02	9.092628e-02
1730	-7.336069e+01	4.941300e-03	1.611674e-02	9.092722e-02
1740	-7.336071e+01	2.716479e-04	1.609841e-02	9.093141e-02
1750	-7.336077e+01	2.508909e-02	1.663171e-02	9.062981e-02
1760	-7.336079e+01	4.889314e-04	1.557450e-02	9.014459e-02
1770	-7.336081e+01	3.503223e-04	1.570235e-02	9.071496e-02
1780	-7.336081e+01	2.067099e-04	1.587836e-02	9.087964e-02
1790	-7.336081e+01	7.357293e-03	1.585046e-02	9.085256e-02
1800	-7.336082e+01	6.161321e-02	1.578158e-02	9.076960e-02
1810	-7.336083e+01	4.574718e-03	1.588966e-02	9.097640e-02
1820	-7.336083e+01	3.577102e-02	1.599290e-02	9.102354e-02
1830	-7.336083e+01	4.834332e-04	1.587129e-02	9.099209e-02
1840	-7.336084e+01	1.139008e-03	1.540034e-02	9.082485e-02
1850	-7.336089e+01	1.963092e-02	1.539419e-02	9.091197e-02
1860	-7.336092e+01	4.793915e-03	1.570306e-02	9.137014e-02
1870	-7.336092e+01	2.826286e-03	1.571311e-02	9.143188e-02
1880	-7.336093e+01	1.121761e-01	1.624863e-02	9.192740e-02
1890	-7.336094e+01	2.086026e-04	1.606166e-02	9.189200e-02
1900	-7.336094e+01	6.538958e-04	1.610158e-02	9.191019e-02
1910	-7.336094e+01	5.937796e-04	1.614270e-02	9.198891e-02
1920	-7.336094e+01	1.777685e-04	1.604468e-02	9.181863e-02
1930	-7.336094e+01	6.162090e-03	1.604859e-02	9.181664e-02
1940	-7.336094e+01	9.950689e-05	1.604380e-02	9.181556e-02
1950	-7.336094e+01	8.232274e-03	1.603653e-02	9.184991e-02
1960	-7.336094e+01	3.585764e-05	1.606478e-02	9.189727e-02
1970	-7.336094e+01	1.513018e-02	1.610821e-02	9.188173e-02
1980	-7.336094e+01	7.800416e-03	1.602031e-02	9.184418e-02
1990	-7.336094e+01	4.164805e-03	1.587566e-02	9.202295e-02
2000	-7.336095e+01	5.387767e-03	1.609208e-02	9.214880e-02
2010	-7.336095e+01	7.010841e-05	1.607225e-02	9.209600e-02
2020	-7.336095e+01	1.175740e-03	1.614128e-02	9.211639e-02
2030	-7.336095e+01	8.243871e-03	1.601225e-02	9.196801e-02
2040	-7.336095e+01	2.851215e-05	1.604558e-02	9.191354e-02
2050	-7.336099e+01	2.816359e-03	1.606014e-02	9.250593e-02
2060	-7.336100e+01	4.637169e-04	1.616361e-02	9.304313e-02
2070	-7.336100e+01	1.065841e-03	1.615982e-02	9.305716e-02
2080	-7.336100e+01	4.329394e-05	1.617092e-02	9.309886e-02
2090	-7.336100e+01	5.346549e-03	1.617935e-02	9.310821e-02
2100	-7.336101e+01	5.022150e-04	1.587648e-02	9.297404e-02
2110	-7.336102e+01	6.153901e-02	1.580356e-02	9.265764e-02
2120	-7.336109e+01	3.594613e-02	1.583451e-02	9.338448e-02
2130	-7.336116e+01	5.911509e-03	1.637754e-02	9.466161e-02
2140	-7.336150e+01	1.854366e-02	1.640893e-02	9.792693e-02
2150	-7.336151e+01	6.338072e-02	1.643200e-02	9.811360e-02
